direction,meilleur_score,marge,palier
DTR,0.36870548129081726,0.0836867094039917,<0.45 (article entier)
DTR,0.39753594994544983,0.013886749744415283,<0.45 (article entier)
DTR,0.2583436071872711,0.060885459184646606,<0.45 (article entier)
DTR,0.5687258243560791,0.004099428653717041,0.45-0.65 (top 3)
DTR,0.4994668960571289,0.032346516847610474,0.45-0.65 (top 3)
DTR,0.37757617235183716,0.08429116010665894,<0.45 (article entier)
DTR,0.5065362453460693,0.027701586484909058,0.45-0.65 (top 3)
DTR,0.6007169485092163,0.02263200283050537,0.45-0.65 (top 3)
DTR,0.475851833820343,0.031882405281066895,0.45-0.65 (top 3)
DTR,0.5231949090957642,0.005919277667999268,0.45-0.65 (top 3)
DTR,0.37107306718826294,0.09145796298980713,<0.45 (article entier)
DTR,0.36968615651130676,0.013561040163040161,<0.45 (article entier)
DTR,0.4269901216030121,0.01764237880706787,<0.45 (article entier)
DTR,0.5404290556907654,0.0011640191078186035,0.45-0.65 (top 3)
DTR,0.4765867292881012,0.038219958543777466,0.45-0.65 (top 3)
DTR,0.3904765248298645,0.08523941040039062,<0.45 (article entier)
DTR,0.5342094302177429,0.02189689874649048,0.45-0.65 (top 3)
DTR,0.6528934836387634,0.04083460569381714,0.65-0.75 (zone grise)
DTR,0.4674648642539978,0.03516009449958801,0.45-0.65 (top 3)
DTR,0.5661338567733765,0.001962125301361084,0.45-0.65 (top 3)
DTR,0.4181500971317291,0.06371581554412842,<0.45 (article entier)
DTR,0.37114936113357544,0.017215430736541748,<0.45 (article entier)
DTR,0.46958285570144653,0.018826425075531006,0.45-0.65 (top 3)
DTR,0.5181901454925537,0.008345246315002441,0.45-0.65 (top 3)
DTR,0.4882124662399292,0.0383724570274353,0.45-0.65 (top 3)
DTR,0.2937396466732025,0.05650728940963745,<0.45 (article entier)
DTR,0.5162561535835266,0.011811614036560059,0.45-0.65 (top 3)
DTR,0.6210852265357971,0.03229355812072754,0.45-0.65 (top 3)
DTR,0.4601558446884155,0.03726160526275635,0.45-0.65 (top 3)
DTR,0.5608417391777039,0.010641515254974365,0.45-0.65 (top 3)
DTR,0.3536531627178192,0.00571712851524353,<0.45 (article entier)
DTR,0.4587952792644501,0.05437654256820679,0.45-0.65 (top 3)
DTR,0.6035253405570984,0.022239506244659424,0.45-0.65 (top 3)
DTR,0.515635073184967,0.02692282199859619,0.45-0.65 (top 3)
DTR,0.32818084955215454,0.034064680337905884,<0.45 (article entier)
DTR,0.45235273241996765,4.079937934875488e-05,0.45-0.65 (top 3)
DTR,0.5723292231559753,0.006184637546539307,0.45-0.65 (top 3)
DTR,0.4349476397037506,0.08158797025680542,<0.45 (article entier)
DTR,0.3974055051803589,0.015603184700012207,<0.45 (article entier)
DTR,0.575240969657898,0.005457282066345215,0.45-0.65 (top 3)
DTR,0.48483386635780334,0.02133879065513611,0.45-0.65 (top 3)
DTR,0.35606488585472107,0.09011155366897583,<0.45 (article entier)
DTR,0.47038835287094116,0.002235323190689087,0.45-0.65 (top 3)
DTR,0.638832151889801,0.024135887622833252,0.45-0.65 (top 3)
DTR,0.4210399389266968,0.028936773538589478,<0.45 (article entier)
DTR,0.38208338618278503,0.011636197566986084,<0.45 (article entier)
DTR,0.4629133343696594,0.019930660724639893,0.45-0.65 (top 3)
DTR,0.5125079154968262,0.016267210245132446,0.45-0.65 (top 3)
DTR,0.28656381368637085,0.07131507992744446,<0.45 (article entier)
DTR,0.5612959265708923,0.006432294845581055,0.45-0.65 (top 3)
DTR,0.6040813326835632,0.016848504543304443,0.45-0.65 (top 3)
DTR,0.5648021697998047,0.012033045291900635,0.45-0.65 (top 3)
DTR,0.4519270062446594,0.08583387732505798,0.45-0.65 (top 3)
DTR,0.41425275802612305,0.022457480430603027,<0.45 (article entier)
DTR,0.4622518718242645,0.02092534303665161,0.45-0.65 (top 3)
DTR,0.5371636152267456,0.0036875009536743164,0.45-0.65 (top 3)
DTR,0.500280499458313,0.024100691080093384,0.45-0.65 (top 3)
DTR,0.299601674079895,0.07155799865722656,<0.45 (article entier)
DTR,0.4610867202281952,0.013864219188690186,0.45-0.65 (top 3)
DTR,0.2894841432571411,0.06216868758201599,<0.45 (article entier)
DTR,0.484817236661911,0.03897637128829956,0.45-0.65 (top 3)
DTR,0.5559341311454773,0.000630497932434082,0.45-0.65 (top 3)
DTR,0.27351507544517517,0.020099103450775146,<0.45 (article entier)
DTR,0.2983088493347168,0.030864179134368896,<0.45 (article entier)
DTR,0.39127257466316223,0.03993934392929077,<0.45 (article entier)
DTR,0.5726000070571899,0.05347084999084473,0.45-0.65 (top 3)
DTR,0.24074946343898773,0.015630051493644714,<0.45 (article entier)
DTR,0.36465856432914734,0.05011776089668274,<0.45 (article entier)
DTR,0.4393938481807709,0.0387270450592041,<0.45 (article entier)
DTR,0.30504173040390015,0.0569770485162735,<0.45 (article entier)
DTR,0.33222082257270813,0.0036696195602416992,<0.45 (article entier)
DTR,0.3900204300880432,0.015415996313095093,<0.45 (article entier)
DTR,0.5358540415763855,0.0026346445083618164,0.45-0.65 (top 3)
DTR,0.31267186999320984,0.01999559998512268,<0.45 (article entier)
DTR,0.4573861360549927,0.005664944648742676,0.45-0.65 (top 3)
DTR,0.5312449932098389,0.0014362931251525879,0.45-0.65 (top 3)
DTR,0.3051488995552063,0.053162992000579834,<0.45 (article entier)
DTR,0.31195446848869324,0.027402251958847046,<0.45 (article entier)
DTR,0.3781639337539673,0.018067240715026855,<0.45 (article entier)
DTR,0.3080253005027771,0.0004512965679168701,<0.45 (article entier)
DTR,0.5532267093658447,0.054483890533447266,0.45-0.65 (top 3)
DTR,0.20578978955745697,0.006452307105064392,<0.45 (article entier)
DJAC,0.38856416940689087,0.03661233186721802,<0.45 (article entier)
DJAC,0.42992424964904785,0.028277337551116943,<0.45 (article entier)
DJAC,0.5482362508773804,0.11125457286834717,0.45-0.65 (top 3)
DJAC,0.5564032793045044,0.14063414931297302,0.45-0.65 (top 3)
DJAC,0.23986956477165222,0.013441428542137146,<0.45 (article entier)
DJAC,0.6227465867996216,0.011453509330749512,0.45-0.65 (top 3)
DJAC,0.40398386120796204,0.038166344165802,<0.45 (article entier)
DJAC,0.4898115396499634,0.12777265906333923,0.45-0.65 (top 3)
DJAC,0.6002976298332214,0.11191213130950928,0.45-0.65 (top 3)
DJAC,0.4604134261608124,0.0911584198474884,0.45-0.65 (top 3)
DJAC,0.20167551934719086,0.018884196877479553,<0.45 (article entier)
DJAC,0.5121188759803772,0.11225634813308716,0.45-0.65 (top 3)
DJAC,0.4804617762565613,0.1111251711845398,0.45-0.65 (top 3)
DJAC,0.5523501038551331,0.09397104382514954,0.45-0.65 (top 3)
DJAC,0.5059643387794495,0.12109830975532532,0.45-0.65 (top 3)
DJAC,0.2649819254875183,0.0003885328769683838,<0.45 (article entier)
DJAC,0.5466735363006592,0.13455215096473694,0.45-0.65 (top 3)
DJAC,0.41094812750816345,0.03825032711029053,<0.45 (article entier)
DJAC,0.4226495623588562,0.026464253664016724,<0.45 (article entier)
DJAC,0.41438645124435425,0.08832371234893799,<0.45 (article entier)
DJAC,0.5726974606513977,0.1434975564479828,0.45-0.65 (top 3)
DJAC,0.2427421510219574,0.002490684390068054,<0.45 (article entier)
DJAC,0.6835244297981262,0.007391095161437988,0.65-0.75 (zone grise)
DJAC,0.4033506214618683,0.03155934810638428,<0.45 (article entier)
DJAC,0.4770313799381256,0.11241775751113892,0.45-0.65 (top 3)
DJAC,0.6848471760749817,0.060462355613708496,0.65-0.75 (zone grise)
DJAC,0.21215718984603882,0.00414411723613739,<0.45 (article entier)
DJAC,0.44514551758766174,0.03332549333572388,<0.45 (article entier)
DJAC,0.44702526926994324,0.08989045023918152,<0.45 (article entier)
DJAC,0.5998712182044983,0.0415264368057251,0.45-0.65 (top 3)
DJAC,0.4928063452243805,0.09113010764122009,0.45-0.65 (top 3)
DJAC,0.4100329577922821,0.047351717948913574,<0.45 (article entier)
DJAC,0.40050208568573,0.02348068356513977,<0.45 (article entier)
DJAC,0.4929824769496918,0.11320099234580994,0.45-0.65 (top 3)
DJAC,0.21448500454425812,0.025265514850616455,<0.45 (article entier)
DJAC,0.36588335037231445,0.01628437638282776,<0.45 (article entier)
DJAC,0.30295079946517944,0.008201390504837036,<0.45 (article entier)
